"balloon","version_num","years_active","sponsor","designer","height","length","width","weight","helium_volume","handlers","type","manufacturer","designers","handling_lines"
"80th Anniversary Hot Air Balloon",1,"2006","Macy's","Joel Naprstek","47 feet",NA,NA,NA,NA,NA,"Giant Balloons",NA,NA,NA
"Abby Cadabby",1,"2007-2009","Sesame Workshop","Janis Beauchamp","48.5 Feet","56 Feet","37.5 Feet","353 lbs.","16,100 Cubic ft.","53 Handling Lines90 Handlers","Giant Balloons",NA,NA,NA
"Ada Twist, Scientist",1,"2021-2022","Netflix","Eric Hudspeth","51 feet","41 feet","29 feet",NA,NA,"90","Giant Balloons",NA,NA,NA
"Adventure Time with Finn and Jake",1,"2013-2015","Cartoon Network","Jessica Moretti","40 feet","57 feet","26 feet",NA,NA,"90","Giant Balloons",NA,NA,NA
"Andy the Alligator",1,"1932-1933","Macy's","Tony Sarg",NA,NA,NA,NA,NA,"25","Giant Balloons","Goodyear Tire and Rubber Company",NA,NA
"Angry Birds' Red",1,"2015-2017","Rovio Entertainment","Joel Naprstek","45.5 feet","44 feet","29.7 feet",NA,"14,000 cubic ft","90","Giant Balloons","Signs & Shapes International",NA,NA
"Arrtle the Pirate",1,"1947-1948","Macy's","Elizabeth Rodgers","43 feet",NA,NA,NA,"4,000 cubic ft.","20","Giant Balloons","Goodyear Tire and Rubber Company",NA,NA
"Arrtle the Pirate",2,"2007-2010, 2015, 2018, 2021 (Main Parade)2007-2010 (Macy's Holiday Parade)","Macy's","Jennifer Palmer","36 feet",NA,"24.5 feet",NA,"3,600 cubic feet.","28","Giant Balloons","Raven Aerostar",NA,NA
"Arthur",1,"1997-2001, 2003","Little Brown Children's Publishing Company (1997-1998)Eden Toys (1999)Random House Children's Media Group (2000)The Learning Company (2001)Marc Brown Studios (2003)","Manfred Bass","68-feet","52-feet","32-feet",NA,"12,040 cubic ft",NA,"Giant Balloons","Raven Aerostar",NA,NA
"Babar",1,"1938, 1940","Macy's",NA,NA,NA,NA,NA,NA,NA,"Giant Balloons",NA,NA,NA
"Babar",2,"1991-1992","Nelvana LimitedThe Clifford Ross Company",NA,"50 Feet",NA,NA,NA,NA,"64","Giant Balloons","Raven Aerostar",NA,NA
"Babe",1,"1998","Universal Pictures","Manfred Bass","37 feet","60 feet","38 feet","364 lbs.","14,000 cubic ft.",NA,"Giant Balloons","Raven Aerostar",NA,NA
"Baby Shamu",1,"1986-1988","SeaWorld","Richard Murrey","65 feet",NA,"37 feet","300 lbs.","17,000 cubic ft.",NA,"Giant Balloons",NA,NA,NA
"Barney",1,"1994-2002","The Lyons Group (1994-1995)Lyrick Studios (1996-2000)HiT Entertainment (2001-2002)","Manfred Bass","58 feet","44 feet","30 feet",NA,"12,000 cubic ft.",NA,"Giant Balloons","Raven Aerostar",NA,NA
"Barney",2,"2003-2005","HiT Entertainment","Jerry Ospa","51.5 feet","53.3 feet","27 feet",NA,"15,370 cubic ft.",NA,"Giant Balloons","Raven Aerostar",NA,NA
"Barney Google",1,"1930","King Features Syndicate","Tony Sarg",NA,NA,NA,NA,NA,NA,"Giant Balloons","Goodyear Tire and Rubber Company",NA,NA
"Bart Simpson",1,"1990-1995","Fox, Inc.",NA,"67 feet",NA,"34 feet","750 lbs.","12,724 cubic ft.",NA,"Giant Balloons",NA,NA,NA
"Beethoven",1,"1993-1995, 2008","Universal Pictures","Manfred Bass","37 feet","76 feet",NA,"450 lbs.","15,750 cubic ft.",NA,"Giant Balloons","Raven Aerostar",NA,NA
"Betty Boop",1,"1985-1987, 1991-1992, 1995-1996","King Features",NA,"67 feet","38 feet","38 feet","425 lbs.","15,820 cubic ft.","40","Giant Balloons","Raven Aerostar",NA,NA
"Big Bird",1,"1988-2000","Children's Television Workshop (1988-1995, 1997-1999)Jim Henson Productions (1996)Sesame Workshop (2000)","Michael K. Frith","35 feet","67 feet","29 feet","450 lbs.","12,100 cubic ft.","50","Giant Balloons","Raven Aerostar",NA,NA
"Big Bird",2,"2001-2006","Sesame Workshop","Jennifer PalmerJerry Ospa","46 feet","63 feet","28 feet","468 lbs.","12,000 cubic ft.","80","Giant Balloons","Raven Aerostar",NA,NA
"Big Turk",1,"1928","Macy's","Tony Sarg",NA,"30 feet",NA,NA,NA,NA,"Giant Balloons","Goodyear Tire and Rubber Company",NA,NA
"Blue's Clues",1,"1999-2002","Nickelodeon","Manfred Bass","41 feet","63 feet","32 feet","500 lbs.","15,000 cubic ft.","58","Giant Balloons",NA,NA,NA
"Blue's Clues",2,"1999-2002","Nickelodeon",NA,NA,NA,NA,NA,NA,NA,"Giant Balloons",NA,NA,NA
"Blue's Clues",3,"2019-2022","Nickelodeon","Joel Naprstek",NA,NA,NA,NA,NA,NA,"Giant Balloons",NA,NA,NA
