"year","name","type"
1949,"Milton Berle","performer"
1950,"Jimmy Durante","performer"
1951,"Bert Lahr","performer"
1951,"Howdy Doody and Buffalo Bob","performer"
1951,"Happy Felton","performer"
1952,"Jackie Gleason","performer"
1952,"Garry Moore","performer"
1952,"Jack Sterling","performer"
1952,"Sam Levenson","performer"
1952,"Bob Trout","performer"
1952,"Eddie Albert","performer"
1952,"Fletcher Markle","performer"
1952,"Mercedes McCambridge","performer"
1953,"Sid Caesar","performer"
1953,"Imogene Coca","performer"
1953,"Wally Cox","performer"
1953,"Celeste Holm","performer"
1953,"Martha Raye","performer"
1953,"Steve Allen","performer"
1953,"Faye Emerson","performer"
1953,"Eddie Fisher","performer"
1953,"Bill Boyd","performer"
1953,"Roy Rogers","performer"
1953,"Howdy Doody and Clarabell","performer"
1954,"Abbott and Costello","performer"
1954,"Sid Caesar","performer"
1954,"Jackie Cooper","performer"
1954,"Carol Haney","performer"
1954,"Judy Holiday","performer"
1954,"Virginia Mayo","performer"
1954,"The Cast of Howdy Doody","performer"
1954,"Lassie","performer"
1954,"J. Fred Muggs","performer"
1955,"Danny Kaye","performer"
1955,"Dena Kaye","performer"
1955,"Pinky Lee","performer"
1955,"Howdy Doody,","performer"
1956,"Roy Rogers","performer"
1956,"Dale Evans","performer"
1956,"Paul Winchell","performer"
1956,"Buster Crabbe","performer"
1956,"Spike Jones","performer"
1956,"Edie Adams","performer"
1956,"Peter Palmer","performer"
1956,"Charlotte Rae","performer"
1956,"Joe E. Marks","performer"
1956,"Stubby Kaye","performer"
1956,"Billy Gilbert","performer"
1956,"Basil Rathbone","performer"
1956,"Martyn Green","performer"
1956,"Dennis Kohler","performer"
1956,"Dan Tempest","performer"
1957,"Hugh O'Brian","performer"
1957,"Eddie Foy Jr.","performer"
1957,"Sandra Baird","performer"
1957,"Farley Granger","performer"
1957,"Margaret O'Brien","performer"
1957,"Gene London","performer"
1958,"Dale Robertson","performer"
1958,"Robert Horton","performer"
1958,"George Montgomery","performer"
1958,"Dick Clark","performer"
1958,"Ginger Rogers","performer"
1958,"Russ Tamblyn","performer"
1958,"Benny Goodman","performer"
1958,"Dolores Hart","performer"
1958,"Richard Eyer","performer"
1958,"Ed Herlihy","performer"
1958,"Charlie Ruggles","performer"
1959,"Shirley Temple","performer"
1959,"Chuck Connors","performer"
1959,"Dolores Gray","performer"
1959,"Pat Carroll","performer"
1959,"Connie Francis","performer"
1959,"Jules Munshin","performer"
1959,"Bobby Clark","performer"
1959,"Ed Wynn","performer"
1960,"Shirley Jones","performer"
1960,"David Kory","performer"
1960,"Joe E. Brown","performer"
1960,"Lori Martin","performer"
1961,"Dan Blocker","performer"
1961,"Michael Landon","performer"
1961,"Lorne Greene","performer"
1961,"Martha Wright","performer"
1961,"Connie Francis","performer"
1961,"George Gobel","performer"
1961,"Sam Levene","performer"
1961,"Troy Donahue","performer"
1961,"Robert Morse","performer"
1961,"Annette Funicello","performer"
1961,"Lori Martin","performer"
1961,"Joe E. Ross","performer"
1961,"Fred Gwynne","performer"
1961,"Casey Stengel","performer"
1961,"Lionel Hampton","performer"
1962,"Jay North","performer"
1962,"Tony Bennett","performer"
1962,"Darla Banks","performer"
1962,"Carol Lawrence","performer"
1962,"Jimmy Durante","performer"
1962,"Joe E. Ross","performer"
1962,"Fred Gwynne","performer"
1962,"Sam Levenson","performer"
1962,"Dean Jones","performer"
1962,"Willie Mays","performer"
1962,"Ralph Terry","performer"
1962,"Jack Dempsey","performer"
1962,"Otto Graham","performer"
1962,"Arnold Palmer","performer"
1962,"Gene Krupa","performer"
1962,"Frank Fontaine","performer"
1963,"James Drury","performer"
1963,"Michael Landon","performer"
1963,"Jack Palance","performer"
1963,"Ray Bolger","performer"
1963,"Mitch Miller","performer"
1963,"Robert Cottle","performer"
1963,"Troy Donahue","performer"
1963,"Gene Krupa","performer"
1963,"Leslie Uggams","performer"
1963,"Allan Sherman","performer"
1963,"Janis Paige","performer"
1963,"Craig Stevens","performer"
