"year","name","type"
1928,"Fish","character"
1928,"Tiger","character"
1928,"Hummingbird","character"
1928,"Sky Elephant","character"
1928,"Early Bird","character"
1929,"Turk with Sparkplug the Horse","character"
1929,"Katzenjammers with the Captain","character"
1929,"Sultan of Sulu","character"
1929,"Turkey Gobbler","character"
1929,"Ol' Man Dragon","character"
1930,"Joe Jinks","character"
1930,"Barney Google","character"
1930,"Boob McNutt","character"
1931,"Tiamat the Tiger","character"
1931,"Jerry the Pig","character"
1931,"Two-Headed Giant","character"
1931,"Tom Cat","character"
1931,"Blue Hippo","character"
1931,"Cats","character"
1932,"Felix the Cat","character"
1932,"Willie Red Bird","character"
1932,"Fritz the Dachshund","character"
1932,"Terrible Turk","character"
1933,"Gulliver","character"
1933,"The Colicky Kid","character"
1934,"Mickey Mouse","character"
1934,"Eddie Cantor","character"
1934,"Little Pig","character"
1934,"The Big Bad Wolf","character"
1935,"Donald Duck","character"
1935,"Turkey","character"
1935,"Harpo Marx","character"
1935,"Indian","character"
1936,"Father Knickerbocker","character"
1936,"Dragon","character"
1936,"Two-Headed Pirate","character"
1937,"Morton the Nantucket Sea Monster","character"
1937,"Officer SOS 13","character"
1937,"Pinocchio","character"
1937,"Christmas Stocking","character"
1937,"Daring Young Man on the Trapeze","character"
1938,"Uncle Sam","character"
1938,"Ferdinand the Bull","character"
1938,"Little Man-Big Man","character"
1939,"The Tin Man","character"
1939,"Santa Claus","character"
1940,"Hippopotamus","character"
1940,"Superman","character"
1940,"Laffo the Clown","character"
1941,"Hugo the Football Player and Football","character"
1941,"Goldfish","character"
1941,"Elephant","character"
1945,"Bobo the Hobo","character"
1945,"The Young Man on the Flying Trapeze","character"
1945,"Teddy Bear","character"
1945,"Pumpkin","character"
1945,"Ice Cream Cone","character"
1946,"Baseball Player","character"
1946,"Panda Bear","character"
1946,"Pilgrim","character"
1946,"Candy Cane","character"
1947,"Pirate","character"
1947,"Comical Cop","character"
1947,"Gnome","character"
1948,"Fireman","character"
1948,"Monkey on the High Trapeze","character"
1948,"Crocodile","character"
1949,"Hobo Clown","character"
1949,"Dachshund","character"
1949,"Howdy Doody","character"
1950,"Toy Soldier","character"
1950,"Rainbow Trout","character"
1951,"Mighty Mouse","character"
1952,"Spaceman","character"
1953,"Dachshund","character"
1953,"Goldfish with Pinkish Fins","character"
1954,"Gorgeous Gobbler","character"
1956,"Observer","character"
1957,"Popeye","character"
1960,"Happy Dragon","character"
1961,"Bullwinkle","character"
1962,"Flying Trapeze","character"
1962,"Donald Duck","character"
1963,"Dino the Dinosaur","character"
1963,"Elsie the Cow","character"
1964,"Linus the Lionhearted","character"
1965,"Underdog","character"
1966,"Superman","character"
1966,"Smokey Bear","character"
1968,"Snoopy the Aviator","character"
1969,"Snoopy the Astronaut","character"
1971,"Smile","character"
1971,"Mickey Mouse","character"
1975,"Weeble","character"
1977,"Kermit the Frog","character"
1980,"Superman","character"
1982,"Olive Oyl","character"
1982,"Woody Woodpecker","character"
1983,"Yogi Bear","character"
1984,"Garfield","character"
1984,"Raggedy Ann","character"
1985,"Betty Boop","character"
1986,"Humpty Dumpty","character"
1986,"Swee'Pea","character"
1986,"Baby Shamu","character"
1987,"Spider-Man","character"
1987,"Ronald McDonald","character"
1987,"Skater Snoopy","character"
1987,"Snuggle Bear","character"
1988,"Big Bird","character"
1988,"Quik Bunny","character"
1988,"Pink Panther","character"
1988,"Snoopy and Woodstock","character"
1989,"Bugs Bunny","character"
1990,"Clifford the Big Red Dog","character"
1990,"Bart Simpson","character"
1991,"Babar the Elephant","character"
1992,"Santa Goofy","character"
1993,"Beethoven","character"
1993,"Sonic the Hedgehog","character"
1993,"Rex","character"
1993,"Izzy","character"
1994,"Barney","character"
1994,"The Cat in the Hat","character"
1995,"Dudley the Dragon","character"
1995,"Sky Dancer","character"
1995,"Eben Bear","character"
1996,"Rocky and Bullwinkle","character"
1996,"Peter Rabbit","character"
1997,"Arthur","character"
1997,"Rugrats","character"
1997,"Bumpé","character"
1997,"Petula Pig","character"
1998,"Babe","character"
1998,"Wild Thing","character"
1998,"Dexter","character"
1999,"Millennium Snoopy","character"
1999,"Honey Nut Cheerios Bee","character"
1999,"Blue","character"
2000,"Bandleader Mickey Mouse","character"
2000,"Jeeves","character"
2000,"Ronald McDonald","character"
2000,"Dragon Tales' Cassie","character"
2001,"Curious George","character"
2001,"Pikachu","character"
2001,"Big Bird","character"
2001,"Jimmy Neutron","character"
2001,"Cheesasaurus Rex","character"
2002,"Charlie Brown and the Elusive Football","character"
2002,"Little Bill","character"
2002,"Mr. Monopoly","character"
2002,"Kermit the Frog","character"
2003,"""Strike Up the Band"" Barney","character"
2003,"Super Grover","character"
2003,"Garfield","character"
2004,"Chicken Little","character"
2004,"M&M's Red and Yellow Brighten the Holidays","character"
2004,"SpongeBob SquarePants","character"
2005,"Scooby-Doo","character"
2005,"Dora the Explorer","character"
2005,"Mr. Potato Head","character"
2005,"JoJo's Circus","character"
2006,"Snoopy as the Flying Ace","character"
2006,"Pikachu with Poké Ball","character"
2007,"Abby Cadabby","character"
2007,"Super Cute Hello Kitty","character"
2007,"Shrek","character"
2008,"Smurf","character"
2008,"Buzz Lightyear","character"
2008,"Horton the Elephant","character"
2009,"Spider-Man,[37]Ronald McDonald","character"
2009,"Sailor Mickey","character"
2009,"Pillsbury Doughboy","character"
2010,"Diary of a Wimpy Kid","character"
2010,"Po from Kung Fu Panda","character"
2011,"Sonic the Hedgehog","character"
2011,"Julius","character"
2012,"Hello Kitty","character"
2012,"Papa Smurf","character"
2012,"The Elf on the Shelf","character"
2013,"Snoopy and Woodstock","character"
2013,"SpongeBob SquarePants","character"
2013,"How to Train Your Dragon's Toothless","character"
2013,"The Wizard of Oz 75th Anniversary Hot Air Balloon","character"
2013,"Adventure Time with Finn & Jake","character"
2014,"Thomas the Tank Engine","character"
2014,"Paddington","character"
2014,"Red Mighty Morphin Power Ranger","character"
2014,"Skylanders' Eruptor","character"
2014,"Pikachu","character"
2014,"Pillsbury Doughboy","character"
2015,"Ice Age's Scrat and his Acorn","character"
2015,"Ronald McDonald","character"
2015,"Angry Birds' Red,[38]Dino","character"
2016,"Charlie Brown","character"
2016,"Diary of a Wimpy Kid","character"
2016,"Trolls","character"
2017,"Olaf","character"
2017,"Jett from Super Wings","character"
2017,"Chase from PAW Patrol","character"
2017,"Dr. Seuss' The Grinch","character"
2018,"Goku from Dragon Ball","character"
2019,"Astronaut Snoopy","character"
2019,"Green Eggs and Ham","character"
2019,"SpongeBob SquarePants with Gary","character"
2020,"Red Titan from Ryan's World","character"
2020,"The Boss Baby","character"
2021,"Ada Twist","character"
2021,"Scientist","character"
2021,"Funko Pop!-Inspired Grogu","character"
2021,"Ronald McDonald","character"
2021,"Pikachu and Eevee","character"
2022,"Bluey","character"
2022,"Diary of a Wimpy Kid","character"
2022,"Sinclair's Dino and Baby Dino","character"
2022,"Stuart the Minion","character"
2023,"Beagle Scout Snoopy","character"
2023,"Monkey D. Luffy","character"
2023,"Leo","character"
2023,"Po from Kung Fu Panda","character"
2023,"Pillsbury Doughboy","character"
1985,"Lollipops","novelty"
1985,"Ice Cream Cone","novelty"
1985,"Pennsylvania Dutch Ornaments","novelty"
1985,"Flower Ornaments","novelty"
1985,"American Star Ornaments","novelty"
1985,"Geometric Ornaments","novelty"
1985,"Macy's White Stars","novelty"
1986,"Macy's White Stars","novelty"
1986,"Starfishes","novelty"
1987,"Ice Cream Cone","novelty"
1987,"Ice Stars","novelty"
1988,"ABC Bouncing Balls","novelty"
1991,"Basketball","novelty"
1991,"Baseball","novelty"
1991,"Football","novelty"
1992,"Pumpkins","novelty"
1992,"The Pinheads","novelty"
1993,"Wiggle Worm","novelty"
1994,"Cloe the Holiday Clown","novelty"
1995,"FujiFilm's Blimp","novelty"
1996,"Americana Balloons","novelty"
1999,"Stars & Stripes Ornaments","novelty"
